longest reception, name, receiving conversions, receiving touchdowns, receiving yards, receptions, targets
3,Cordarrelle Patterson,,0,3,1,3
15,Taylor Gabriel,,0,24,2,5
27,Allen Robinson,,0,102,7,13
7,Mike Davis,,0,17,6,7
9,Tarik Cohen,,0,49,8,10
6,Adam Shaheen,,0,6,1,2
,Anthony Miller,,0,0,0,1
0,Javon Wims,,0,0,0,2
27,David Montgomery,,0,27,1,1
9,Marcedes Lewis,,0,14,2,3
16,Jimmy Graham,,1,30,3,6
11,Davante Adams,,0,36,4,8
28,Trevor Davis,,0,28,1,1
0,Aaron Jones,,0,0,1,1
28,Robert Tonyan,,0,28,1,1
10,Jamaal Williams,,0,15,2,2
47,Marquez Valdes Scantling,,0,52,4,6
0,Demetrius Harris,,0,0,0,1
24,Odell Beckham,,0,71,7,11
34,Jarvis Landry,,0,67,4,7
35,Rashard Higgins,,0,46,2,3
18,David Njoku,,1,37,4,6
14,Dontrell Hilliard,,0,14,1,2
10,Damion Ratley,,0,17,2,2
7,Nick Chubb,,0,10,3,4
12,D Ernest Johnson,,0,23,2,2
16,Delanie Walker,,2,55,5,6
7,Dion Lewis,,0,6,3,4
0,MyCole Pruitt,,0,0,0,1
5,Adam Humphries,,0,5,1,1
75,Derrick Henry,,1,75,1,2
0,Tajae Sharpe,,0,0,0,2
7,Jonnu Smith,,0,7,1,1
0,Corey Davis,,0,0,0,3
51,AJ Brown,,0,100,3,4
7,Cameron Brate,,0,8,2,2
16,Mike Evans,,0,28,2,5
5,Breshad Perriman,,0,10,2,5
8,Peyton Barber,,0,12,2,4
11,Dare Ogunbowale,,0,33,4,5
15,OJ Howard,,0,32,4,5
28,Chris Godwin,,1,53,3,6
18,Ronald Jones,,0,18,1,1
7,Marquise Goodwin,,0,7,1,3
0,Raheem Mostert,,0,0,1,1
31,Tevin Coleman,,0,33,2,3
19,George Kittle,,0,54,8,10
9,Kendrick Bourne,,0,9,1,3
0,Matt Breida,,0,0,0,1
39,Richie James,,1,39,1,2
7,Dante Pettis,,0,7,1,1
14,Deebo Samuel,1,0,17,3,3
45,Larry Fitzgerald,,1,113,8,13
5,Charles Clay,,0,5,1,1
15,Maxx Williams,,0,15,1,1
19,Damiere Byrd,,0,42,4,7
27,David Johnson,,1,55,6,7
0,Chase Edmonds,,0,0,0,1
10,Christian Kirk,1,0,32,4,12
15,Kee Sean Johnson,,0,46,5,10
47,Danny Amendola,,1,104,7,13
23,Marvin Jones,,0,56,4,4
15,Jesse James,,0,15,1,1
12,JD McKissic,,0,24,2,2
13,Kenny Golladay,,1,42,4,9
7,Kerryon Johnson,,0,13,2,2
0,Nick Bawden,,0,0,1,1
39,TJ Hockenson,,1,131,6,9
,Tyrod Taylor,,0,0,0,1
4,Virgil Green,,0,4,1,1
5,Dontrelle Inman,,0,5,1,1
10,Travis Benjamin,,0,12,2,3
28,Keenan Allen,,1,123,8,10
22,Hunter Henry,,0,60,4,5
17,Mike Williams,,0,29,2,3
55,Austin Ekeler,,2,96,6,7
4,Justin Jackson,,0,4,1,3
19,TY Hilton,,2,87,8,9
20,Jack Doyle,,0,20,1,2
8,Eric Ebron,,0,8,1,3
16,Devin Funchess,,0,32,3,5
3,Mo Alie Cox,,0,3,1,1
8,Nyheim Hines,,0,4,4,4
25,Deon Cain,,0,35,2,2
1,Parris Campbell,,0,1,1,1
6,Jason Witten,,1,15,3,4
25,Randall Cobb,,1,69,4,5
0,Jamize Olawale,,0,0,0,1
,Tavon Austin,,0,8,1,1
45,Amari Cooper,,1,106,6,9
,Ezekiel Elliott,,0,10,1,2
28,Blake Jarwin,,1,39,3,3
62,Michael Gallup,,0,158,7,7
,Rhett Ellison,,0,8,1,2
17,Bennie Fowler,,0,40,5,5
43,Cody Latimer,,0,74,3,8
11,Sterling Shepard,,0,42,6,7
22,Evan Engram,,1,116,11,14
,Wayne Gallman,,0,24,3,3
9,Saquon Barkley,,0,19,4,6
12,Albert Wilson,,0,13,2,4
22,Allen Hurns,,0,22,1,3
49,DeVante Parker,,0,75,3,7
-3,Jakeem Grant,,0,-3,1,3
10,Kenyan Drake,,0,15,2,3
13,Kalen Ballage,,0,13,1,1
26,Mike Gesicki,,0,31,2,6
11,Preston Williams,,1,24,3,5
33,Willie Snead,,1,41,2,3
10,Seth Roberts,,0,10,1,1
12,Nick Boyle,,0,26,3,3
1,Patrick Ricard,,1,1,1,1
39,Mark Andrews,,1,108,8,8
23,Hayden Hurst,,0,41,3,4
83,Marquise Brown,,2,147,4,5
5,Miles Boykin,,1,5,1,1
7,Darren Sproles,,0,16,3,3
53,DeSean Jackson,,2,154,8,10
16,Alshon Jeffery,,1,49,5,6
26,Zach Ertz,,0,54,5,7
7,Nelson Agholor,,0,11,2,5
6,Jordan Howard,,0,11,2,3
9,Dallas Goedert,,0,16,2,3
2,Miles Sanders,,0,2,1,2
48,Vernon Davis,,1,59,4,7
18,Chris Thompson,,0,68,7,10
17,Paul Richardson,,0,36,4,7
8,Jeremy Sprinkle,,0,8,1,1
14,Trey Quinn,,1,33,4,6
8,Derrius Guice,,0,20,3,3
21,Kelvin Harmon,,0,31,2,2
69,Terry McLaurin,,1,125,5,7
,James O Shaughnessy,,0,32,4,5
21,Chris Conley,,1,97,6,7
,Geoff Swaim,,0,17,4,4
15,Dede Westbrook,,1,30,5,6
,Leonard Fournette,,0,28,4,6
69,DJ Chark,,1,146,4,4
,Ryquell Armstead,,0,0,0,1
,LeSean McCoy,,0,12,1,1
,Anthony Sherman,,0,15,1,1
42,Travis Kelce,,0,88,3,8
18,Damien Williams,,0,39,6,6
68,Sammy Watkins,,3,198,9,11
,Blake Bell,,0,7,1,1
0,Demarcus Robinson,,0,0,1,2
8,Tyreek Hill,,0,16,2,2
,Mecole Hardman,,0,0,0,1
,Darwin Thompson,,0,3,1,1
15,Josh Bellamy,,0,15,1,1
11,Ryan Griffin,,0,10,3,4
11,LeVeon Bell,1,1,32,6,9
8,Quincy Enunwa,,0,-4,1,3
19,Jamison Crowder,,0,99,14,17
9,Robby Anderson,,0,23,3,7
5,Patrick DiMarco,,0,9,2,2
10,Cole Beasley,,0,40,5,9
38,John Brown,,1,123,7,10
20,Zay Jones,,0,18,2,5
12,Devin Singletary,,0,28,5,6
29,Tommy Sweeney,,0,35,2,2
1,Dawson Knox,,0,1,1,2
14,Greg Olsen,,0,36,4,9
0,Chris Hogan,,0,0,0,1
14,Jarius Wright,,0,14,1,1
17,Christian McCaffrey,,0,81,10,11
16,Curtis Samuel,,0,32,3,4
0,Ian Thomas,,0,0,0,1
15,DJ Moore,,0,76,7,10
22,Robert Woods,,0,70,8,13
24,Brandin Cooks,,0,39,2,6
4,Todd Gurley,,0,4,1,1
6,Tyler Higbee,,1,20,4,5
7,Gerald Everett,,0,7,1,1
10,Cooper Kupp,,0,46,7,10
0,Josh Reynolds,,0,0,0,2
24,Julian Edelman,,0,83,6,11
44,Josh Gordon,,1,73,3,4
17,Rex Burkhead,,0,41,5,8
32,James White,,0,56,5,7
58,Phillip Dorsett,,2,95,4,4
3,Ryan Izzo,,0,3,1,2
22,Jakobi Meyers,,0,22,1,1
21,Vance McDonald,,0,40,2,4
3,Donte Moncrief,,0,7,3,10
,Johnny Holton,,0,0,0,2
23,James Conner,,0,44,4,4
8,Ryan Switzer,,0,29,6,6
26,Ju Ju Smith Schuster,,0,78,6,8
2,Jaylen Samuels,,0,2,1,2
45,James Washington,,0,51,2,6
9,Diontae Johnson,,0,25,3,5
,Tyler Lockett,,1,44,1,2
,Nick Vannett,,0,16,2,2
11,Chris Carson,,1,35,6,7
,Will Dissly,,0,12,1,2
,DK Metcalf,,0,89,4,6
35,Giovani Bernard,,0,42,2,3
,Tyler Eifert,,0,27,5,6
,CJ Uzomah,,0,66,4,5
